shot_number,start_time_seconds,end_time_seconds,start_frame,end_frame,duration_seconds,metadata_ShotDescription,metadata_GenreCues,metadata_SubgenreCues,metadata_AdjectiveTheme,metadata_Mood,metadata_SettingContext,metadata_ContentDescriptors,metadata_LocationHints_Regional,metadata_LocationHints_International,metadata_SearchKeywords
141,367.2702635131757,369.60558027901396,8807,8863,2.335316765838286,A woman in a blue shirt pushes a wheelchair with a young girl in a pink dress. They are in a hospital room with medical equipment and a sign on the wall.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Adventure"", ""prominence_in_shot"": 1}]","""Adventure""","""Adventure""","""Adventure""","""Adventure""","""Adventure""","""Adventure""","""Adventure"""
142,369.60558027901396,371.7740887044352,8863,8915,2.168508425421237,A man in a blue shirt is holding a woman's head in his hands. The woman is wearing a black shirt and has curly hair. They are standing in a doorway.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": ""high""}]","[{""subgenre_hint"": ""romance"", ""prominence_in_shot"": ""high""}]","""romantic""","""intense""","""interior""","""emotional""","""urban""","""global""","""romance, emotional, urban, global"""
143,371.7740887044352,374.77663883194157,8915,8987,3.0025501275063675,"A woman is sitting in a chair with two children, one of whom is holding a baby. The woman is using a laptop.","[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""family""","""happy""","""home""","""family""","""home""","""home""","""family, home, happy"""
144,374.77663883194157,377.77918895944794,8987,9059,3.0025501275063675,A young girl with a pink bow in her hair is sitting on a couch with a cat. The girl is smiling and waving at the camera.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""happy""","""positive""","""home""","""family""","""home""","""home""","""family, home, positive, happy"""
145,377.77918895944794,380.78173908695436,9059,9131,3.0025501275064244,A young girl with a pink bow in her hair is sitting on a bed with a cat. The cat has blue and gray fur and is wearing a pink bow tie.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": ""1""}]","""Family""","""Happy""","""Home""","""Family""","""Home""","""Home""","""Family, Home"""
146,380.78173908695436,383.7842892144607,9131,9203,3.0025501275063675,A man with dreadlocks is holding a young girl with curly hair. They are sitting on a bed.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""Family""","""Happy""","""Home""","""Family""","""Home""","""Home""","""Family"""
147,383.7842892144607,386.7868393419671,9203,9275,3.0025501275063675,A man with dreadlocks is holding a young girl in a room with a white wall and a window.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Family"", ""prominence_in_shot"": 1}]","""happy""","""happy""","""home""","""family""","""home""","""home""","""family"""
148,386.7868393419671,389.78938946947346,9275,9347,3.0025501275063675,A man with dreadlocks and tattoos is talking to a woman and a young girl in a room.,"[{""genre_hint"": ""drama"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""comedy"", ""prominence_in_shot"": 1}]","""humorous""","""light-hearted""","""interactive""","""family-friendly""","""indoor""","""cultural""","""drama, comedy, family-friendly, indoor, cultural"""
149,389.78938946947346,392.79193959697983,9347,9419,3.0025501275063675,A woman with dreadlocks is holding a baby doll in a room.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 1}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": 1}]","""warm""","""happy""","""home""","""family portrait""","""home""","""home""","""family portrait"""
150,392.79193959697983,407.05405270263515,9419,9761,14.262113105655317,A woman is holding a baby doll in her arms.,"[{""genre_hint"": ""Family"", ""prominence_in_shot"": 0.5}]","[{""subgenre_hint"": ""Childhood"", ""prominence_in_shot"": 0.5}]","""warm""","""happy""","""home""","""family""","""home""","""home""","""family, home, childhood, happy, warm"""
151,407.05405270263515,407.7629881494075,9761,9778,0.7089354467723297,,[],[],[],[],[],[],[],[],[]
